# Time,Error,MotorSpeed,MotorCommand
0.0000,12.0000,45.0000,0.0000
0.0500,12.0000,45.0000,0.0000
0.1100,12.0000,45.0000,1.0000
0.1600,12.0000,45.0000,1.0000
0.2100,12.0000,45.0000,1.0000
0.2600,12.0000,45.0000,1.0000
0.3200,12.0000,45.0000,1.0000
0.3700,12.0000,45.0000,1.0000
0.4200,12.0000,45.0000,1.0000
0.4800,12.0000,45.0000,1.0000
0.5300,12.0000,45.0000,1.0000
0.5800,12.0000,45.0000,1.0000
0.6300,12.0000,45.0000,1.0000
0.6900,12.0000,45.0000,1.0000
0.7400,12.0000,45.0000,1.0000
0.7900,12.0000,45.0000,1.0000
0.8500,12.0000,45.0000,1.0000
0.9000,12.0000,45.0000,1.0000
0.9500,12.0000,45.0000,1.0000
1.0000,12.0000,45.0000,1.0000
1.0600,12.0000,45.0000,1.0000
1.1100,12.0000,45.0000,1.0000
1.1600,12.0000,45.0000,1.0000
1.2200,12.0000,45.0000,1.0000
1.2700,12.0000,45.0000,1.0000
1.3200,12.0000,45.0000,1.0000
1.3800,12.0000,45.0000,1.0000
1.4300,12.0000,45.0000,1.0000
1.4800,12.0000,45.0000,1.0000
1.5400,12.0000,45.0000,1.0000
1.5900,12.0000,45.0000,1.0000
1.6400,12.0000,45.0000,1.0000
1.6900,12.0000,45.0000,1.0000
1.7500,12.0000,45.0000,1.0000
1.8000,12.0000,45.0000,1.0000
1.8500,12.0000,45.0000,1.0000
1.9100,12.0000,45.0000,1.0000
1.9600,12.0000,45.0000,1.0000
2.0100,12.0000,45.0000,1.0000
2.0700,12.0000,45.0000,1.0000
2.1200,12.0000,45.0000,1.0000
2.1700,12.0000,45.0000,1.0000
2.2300,12.0000,45.0000,1.0000
2.2800,12.0000,45.0000,1.0000
2.3300,12.0000,45.0000,1.0000
2.3800,12.0000,45.0000,1.0000
2.4400,12.0000,45.0000,1.0000
2.4900,12.0000,45.0000,1.0000
2.5400,12.0000,45.0000,1.0000
2.6000,12.0000,45.0000,1.0000
2.6500,12.0000,45.0000,1.0000
2.7000,12.0000,45.0000,1.0000
2.7500,12.0000,45.0000,1.0000
2.8100,12.0000,45.0000,1.0000
2.8600,12.0000,45.0000,1.0000
2.9100,12.0000,45.0000,1.0000
2.9700,12.0000,45.0000,1.0000
3.0200,12.0000,45.0000,1.0000
3.0700,12.0000,45.0000,1.0000
3.1300,12.0000,45.0000,1.0000
3.1800,12.0000,45.0000,1.0000
3.2300,12.0000,45.0000,1.0000
3.2800,12.0000,45.0000,1.0000
3.3400,12.0000,45.0000,1.0000
3.3900,12.0000,45.0000,1.0000
3.4400,12.0000,45.0000,1.0000
3.5000,12.0000,45.0000,1.0000
3.5500,12.0000,45.0000,1.0000
3.6000,12.0000,45.0000,1.0000
3.6600,12.0000,45.0000,1.0000
3.7100,12.0000,45.0000,1.0000
3.7600,12.0000,45.0000,1.0000
3.8100,12.0000,45.0000,1.0000
3.8700,12.0000,45.0000,1.0000
3.9200,12.0000,45.0000,1.0000
3.9700,12.0000,45.0000,1.0000
