# Time,Error,MotorSpeed,MotorCommand
0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000
0.0000,12.0000,45.0000,0.0000
0.0500,12.0000,45.0000,0.0000
0.1100,12.0000,45.0000,0.0000
0.1600,12.0000,45.0000,0.0000
0.2100,12.0000,45.0000,0.0000
0.2600,12.0000,45.0000,0.0000
0.3200,12.0000,45.0000,0.0000
0.3700,12.0000,45.0000,1.0000
0.4200,12.0000,45.0000,1.0000
0.4700,12.0000,45.0000,1.0000
0.5300,12.0000,45.0000,1.0000
0.5800,12.0000,45.0000,1.0000
0.6300,12.0000,45.0000,1.0000
0.6900,12.0000,45.0000,1.0000
0.7400,12.0000,45.0000,1.0000
0.7900,12.0000,45.0000,1.0000
0.8500,12.0000,45.0000,1.0000
0.9000,12.0000,45.0000,1.0000
0.9500,12.0000,45.0000,1.0000
1.0000,12.0000,45.0000,1.0000
1.0600,12.0000,45.0000,1.0000
1.1100,12.0000,45.0000,1.0000
1.1600,12.0000,45.0000,1.0000
1.2200,12.0000,45.0000,1.0000
1.2700,12.0000,45.0000,1.0000
1.3200,12.0000,45.0000,1.0000
1.3800,12.0000,45.0000,1.0000
1.4300,12.0000,45.0000,1.0000
1.4800,12.0000,45.0000,1.0000
1.5300,12.0000,45.0000,1.0000
1.5900,12.0000,45.0000,1.0000
1.6400,12.0000,45.0000,1.0000
1.6900,12.0000,45.0000,1.0000
1.7500,12.0000,45.0000,1.0000
1.8000,12.0000,45.0000,1.0000
1.8500,12.0000,45.0000,1.0000
1.9000,12.0000,45.0000,1.0000
1.9600,12.0000,45.0000,1.0000
2.0100,12.0000,45.0000,1.0000
2.0600,12.0000,45.0000,1.0000
2.1200,12.0000,45.0000,1.0000
2.1700,12.0000,45.0000,1.0000
2.2200,12.0000,45.0000,1.0000
2.2800,12.0000,45.0000,1.0000
2.3300,12.0000,45.0000,1.0000
2.3800,12.0000,45.0000,1.0000
2.4400,12.0000,45.0000,1.0000
2.4900,12.0000,45.0000,1.0000
2.5400,12.0000,45.0000,1.0000
2.5900,12.0000,45.0000,1.0000
2.6500,12.0000,45.0000,1.0000
2.7000,12.0000,45.0000,1.0000
2.7500,12.0000,45.0000,1.0000
2.8100,12.0000,45.0000,1.0000
2.8600,12.0000,45.0000,1.0000
2.9100,12.0000,45.0000,1.0000
2.9700,12.0000,45.0000,1.0000
3.0200,12.0000,45.0000,1.0000
3.0700,12.0000,45.0000,1.0000
3.1300,12.0000,45.0000,1.0000
3.1800,12.0000,45.0000,1.0000
3.2300,12.0000,45.0000,1.0000
3.2800,12.0000,45.0000,1.0000
3.3400,12.0000,45.0000,1.0000
3.3900,12.0000,45.0000,1.0000
3.4400,12.0000,45.0000,1.0000
3.5000,12.0000,45.0000,1.0000
3.5500,12.0000,45.0000,1.0000
3.6000,12.0000,45.0000,1.0000
3.6500,12.0000,45.0000,1.0000
3.7100,12.0000,45.0000,1.0000
3.7600,12.0000,45.0000,1.0000
3.8100,12.0000,45.0000,1.0000
3.8700,12.0000,45.0000,1.0000
3.9200,12.0000,45.0000,1.0000
3.9700,12.0000,45.0000,1.0000
4.0300,12.0000,45.0000,1.0000
4.0800,12.0000,45.0000,1.0000
4.1300,12.0000,45.0000,1.0000
4.1900,12.0000,45.0000,1.0000
4.2400,12.0000,45.0000,1.0000
4.2900,12.0000,45.0000,1.0000
4.3400,12.0000,45.0000,1.0000
4.4000,12.0000,45.0000,1.0000
4.4500,12.0000,45.0000,1.0000
4.5000,12.0000,45.0000,1.0000
4.5500,12.0000,45.0000,1.0000
4.6100,12.0000,45.0000,1.0000
4.6600,12.0000,45.0000,1.0000
4.7100,12.0000,45.0000,1.0000
4.7700,12.0000,45.0000,1.0000
4.8200,12.0000,45.0000,1.0000
4.8700,12.0000,45.0000,1.0000
4.9300,12.0000,45.0000,1.0000
4.9800,12.0000,45.0000,1.0000
5.0300,12.0000,45.0000,1.0000
5.0900,12.0000,45.0000,1.0000
5.1400,12.0000,45.0000,1.0000
5.1900,12.0000,45.0000,1.0000
5.2400,12.0000,45.0000,1.0000
5.3000,12.0000,45.0000,1.0000
5.3500,12.0000,45.0000,1.0000
5.4000,12.0000,45.0000,1.0000
5.4600,12.0000,45.0000,1.0000
5.5100,12.0000,45.0000,1.0000
5.5600,12.0000,45.0000,1.0000
5.6100,12.0000,45.0000,1.0000
5.6700,12.0000,45.0000,1.0000
5.7200,12.0000,45.0000,1.0000
5.7700,12.0000,45.0000,1.0000
5.8300,12.0000,45.0000,1.0000
5.8800,12.0000,45.0000,1.0000
5.9300,12.0000,45.0000,1.0000
5.9900,12.0000,45.0000,1.0000
6.0400,12.0000,45.0000,1.0000
6.0900,12.0000,45.0000,1.0000
6.1500,12.0000,45.0000,1.0000
6.2000,12.0000,45.0000,1.0000
6.2500,12.0000,45.0000,1.0000
